"date","country","keyword","hits"
2017-12-09,"US","iPhone",69
2017-12-09,"US","Tesla",5
2017-12-09,"US","Rolex",2
2017-12-10,"DE","iPhone",67
2017-12-10,"DE","Tesla",4
2017-12-10,"DE","Rolex",4
2017-12-10,"FR","iPhone",58
2017-12-10,"FR","Tesla",2
2017-12-10,"FR","Rolex",2
2017-12-10,"JP","iPhone",74
2017-12-10,"JP","Tesla",1
2017-12-10,"JP","Rolex",2
2017-12-10,"MX","iPhone",85
2017-12-10,"MX","Tesla",0
2017-12-10,"MX","Rolex",0
2017-12-10,"US","iPhone",69
2017-12-10,"US","Tesla",5
2017-12-10,"US","Rolex",2
2017-12-11,"DE","iPhone",58
2017-12-11,"DE","Tesla",4
2017-12-11,"DE","Rolex",3
2017-12-11,"FR","iPhone",45
2017-12-11,"FR","Tesla",2
2017-12-11,"FR","Rolex",1
2017-12-11,"JP","iPhone",60
2017-12-11,"JP","Tesla",1
2017-12-11,"JP","Rolex",2
2017-12-11,"MX","iPhone",81
2017-12-11,"MX","Tesla",0
2017-12-11,"MX","Rolex",0
2017-12-11,"US","iPhone",59
2017-12-11,"US","Tesla",4
2017-12-11,"US","Rolex",2
2017-12-12,"DE","iPhone",56
2017-12-12,"DE","Tesla",4
2017-12-12,"DE","Rolex",3
2017-12-12,"FR","iPhone",44
2017-12-12,"FR","Tesla",2
2017-12-12,"FR","Rolex",1
2017-12-12,"JP","iPhone",58
2017-12-12,"JP","Tesla",1
2017-12-12,"JP","Rolex",2
2017-12-12,"MX","iPhone",70
2017-12-12,"MX","Tesla",4
2017-12-12,"MX","Rolex",3
2017-12-12,"US","iPhone",57
2017-12-12,"US","Tesla",5
2017-12-12,"US","Rolex",2
2017-12-13,"DE","iPhone",57
2017-12-13,"DE","Tesla",4
2017-12-13,"DE","Rolex",3
2017-12-13,"FR","iPhone",46
2017-12-13,"FR","Tesla",2
2017-12-13,"FR","Rolex",1
2017-12-13,"JP","iPhone",62
2017-12-13,"JP","Tesla",1
2017-12-13,"JP","Rolex",2
2017-12-13,"MX","iPhone",69
2017-12-13,"MX","Tesla",6
2017-12-13,"MX","Rolex",0
2017-12-13,"US","iPhone",60
2017-12-13,"US","Tesla",4
2017-12-13,"US","Rolex",2
2017-12-14,"DE","iPhone",57
2017-12-14,"DE","Tesla",4
2017-12-14,"DE","Rolex",3
2017-12-14,"FR","iPhone",45
2017-12-14,"FR","Tesla",2
2017-12-14,"FR","Rolex",1
2017-12-14,"JP","iPhone",60
2017-12-14,"JP","Tesla",1
2017-12-14,"JP","Rolex",2
2017-12-14,"MX","iPhone",64
2017-12-14,"MX","Tesla",5
2017-12-14,"MX","Rolex",3
2017-12-14,"US","iPhone",54
2017-12-14,"US","Tesla",4
2017-12-14,"US","Rolex",2
2017-12-15,"DE","iPhone",59
2017-12-15,"DE","Tesla",4
2017-12-15,"DE","Rolex",3
2017-12-15,"FR","iPhone",47
2017-12-15,"FR","Tesla",2
2017-12-15,"FR","Rolex",1
2017-12-15,"JP","iPhone",57
2017-12-15,"JP","Tesla",1
2017-12-15,"JP","Rolex",2
2017-12-15,"MX","iPhone",76
2017-12-15,"MX","Tesla",3
2017-12-15,"MX","Rolex",0
2017-12-15,"US","iPhone",58
2017-12-15,"US","Tesla",4
2017-12-15,"US","Rolex",2
2017-12-16,"DE","iPhone",65
2017-12-16,"DE","Tesla",4
2017-12-16,"DE","Rolex",4
2017-12-16,"FR","iPhone",55
2017-12-16,"FR","Tesla",2
2017-12-16,"FR","Rolex",2
2017-12-16,"JP","iPhone",68
2017-12-16,"JP","Tesla",1
2017-12-16,"JP","Rolex",2
2017-12-16,"MX","iPhone",84
2017-12-16,"MX","Tesla",4
2017-12-16,"MX","Rolex",0
2017-12-16,"US","iPhone",67
2017-12-16,"US","Tesla",5
2017-12-16,"US","Rolex",2
2017-12-17,"DE","iPhone",70
2017-12-17,"DE","Tesla",4
2017-12-17,"DE","Rolex",4
2017-12-17,"FR","iPhone",55
2017-12-17,"FR","Tesla",2
2017-12-17,"FR","Rolex",2
2017-12-17,"JP","iPhone",74
2017-12-17,"JP","Tesla",1
2017-12-17,"JP","Rolex",2
2017-12-17,"MX","iPhone",92
2017-12-17,"MX","Tesla",6
2017-12-17,"MX","Rolex",4
2017-12-17,"US","iPhone",70
2017-12-17,"US","Tesla",5
2017-12-17,"US","Rolex",2
2017-12-18,"DE","iPhone",57
2017-12-18,"DE","Tesla",5
2017-12-18,"DE","Rolex",3
2017-12-18,"FR","iPhone",46
2017-12-18,"FR","Tesla",1
2017-12-18,"FR","Rolex",1
2017-12-18,"JP","iPhone",60
2017-12-18,"JP","Tesla",1
2017-12-18,"JP","Rolex",2
2017-12-18,"MX","iPhone",87
2017-12-18,"MX","Tesla",4
2017-12-18,"MX","Rolex",0
2017-12-18,"US","iPhone",59
2017-12-18,"US","Tesla",4
2017-12-18,"US","Rolex",2
2017-12-19,"DE","iPhone",58
2017-12-19,"DE","Tesla",4
2017-12-19,"DE","Rolex",3
2017-12-19,"FR","iPhone",44
2017-12-19,"FR","Tesla",2
2017-12-19,"FR","Rolex",2
2017-12-19,"JP","iPhone",60
2017-12-19,"JP","Tesla",1
2017-12-19,"JP","Rolex",2
2017-12-19,"MX","iPhone",77
2017-12-19,"MX","Tesla",7
2017-12-19,"MX","Rolex",0
2017-12-19,"US","iPhone",61
2017-12-19,"US","Tesla",5
2017-12-19,"US","Rolex",2
2017-12-20,"DE","iPhone",58
2017-12-20,"DE","Tesla",4
2017-12-20,"DE","Rolex",3
2017-12-20,"FR","iPhone",45
2017-12-20,"FR","Tesla",2
2017-12-20,"FR","Rolex",1
2017-12-20,"JP","iPhone",59
2017-12-20,"JP","Tesla",1
2017-12-20,"JP","Rolex",2
2017-12-20,"MX","iPhone",83
2017-12-20,"MX","Tesla",0
2017-12-20,"MX","Rolex",0
2017-12-20,"US","iPhone",59
2017-12-20,"US","Tesla",5
2017-12-20,"US","Rolex",2
2017-12-21,"DE","iPhone",61
2017-12-21,"DE","Tesla",4
2017-12-21,"DE","Rolex",3
2017-12-21,"FR","iPhone",46
2017-12-21,"FR","Tesla",2
